TreeID,iTreeSpecies,DBH,iTreeDate,StructuralValue_dol,C_Storage_lb,C_Storage_Dol,Gross_C_Seq_lb,Gross_C_Seq_Dol,AvoidedRunoff_cubft,AvoidedRunoff_Dol,C_Avoided_lbyr,C_Avoided_dolyr,Poll_Removal_ozyr,Poll_Removal_dolyr,EnergySavings_dolyr,TotalAnnualBenefits_dolyr
5782,elm spp,2.5,3/29/2019,55.76,10.3,0.88,1.6,0.14,3.6,0.24,N/A,N/A,1.1,0.28,N/A,0.66
5783,Chinese elm,3.2,3/29/2019,146.16,18.7,1.59,2.3,0.19,4.7,0.32,N/A,N/A,1.4,0.38,N/A,0.89
5784,Chinese elm,3.8,3/29/2019,206.11,28.2,2.4,2.9,0.24,5.9,0.39,N/A,N/A,1.8,0.47,N/A,1.11
5785,Northern red oak,2.8,3/29/2019,125.89,16.9,1.44,2.4,0.2,3.7,0.25,N/A,N/A,1.1,0.3,N/A,0.75
5786,Shumard oak,2.7,3/29/2019,114.46,14.6,1.25,2.2,0.18,2.8,0.19,N/A,N/A,0.8,0.22,N/A,0.59
5787,Paperbark maple,6.3,3/29/2019,424.88,140.6,11.99,7.7,0.65,15.1,1.01,N/A,N/A,4.6,1.21,N/A,2.88
5788,crabapple,4.5,3/29/2019,222.31,48.4,4.13,4.1,0.35,6.7,0.45,N/A,N/A,2,0.54,N/A,1.33
5789,elm spp,2.9,3/29/2019,75.02,14.7,1.26,2,0.17,4.2,0.28,N/A,N/A,1.3,0.34,N/A,0.79
5790,elm spp,2.5,3/29/2019,55.76,10.3,0.88,1.6,0.14,3.6,0.24,N/A,N/A,1.1,0.28,N/A,0.66
5791,elm spp,2.5,3/29/2019,55.76,10.3,0.88,1.6,0.14,3.6,0.24,N/A,N/A,1.1,0.28,N/A,0.66
5792,elm spp,2.5,3/29/2019,55.76,10.3,0.88,1.6,0.14,3.6,0.24,N/A,N/A,1.1,0.28,N/A,0.66
5793,elm spp,2.6,3/29/2019,60.31,11.3,0.97,1.7,0.15,3.7,0.25,N/A,N/A,1.1,0.3,N/A,0.69
5794,elm spp,2.9,3/29/2019,75.02,14.7,1.26,2,0.17,4.2,0.28,N/A,N/A,1.3,0.34,N/A,0.79
5795,elm spp,2.8,3/29/2019,69.94,13.5,1.15,1.9,0.16,4,0.27,N/A,N/A,1.2,0.32,N/A,0.75
5796,elm spp,2.8,3/29/2019,69.94,13.5,1.15,1.9,0.16,4,0.27,N/A,N/A,1.2,0.32,N/A,0.75
5797,elm spp,2.7,3/29/2019,65.03,12.4,1.06,1.8,0.15,3.9,0.26,N/A,N/A,1.2,0.31,N/A,0.72
5798,elm spp,2.8,3/29/2019,69.94,13.5,1.15,1.9,0.16,4,0.27,N/A,N/A,1.2,0.32,N/A,0.75
5799,Baldcypress,1.8,3/29/2019,65.25,3.6,0.3,0.7,0.06,1.4,0.09,N/A,N/A,0.4,0.11,N/A,0.26
5800,Baldcypress,1.9,3/29/2019,65.25,4,0.34,0.8,0.06,1.5,0.1,N/A,N/A,0.4,0.12,N/A,0.28
5801,Baldcypress,2.1,3/29/2019,65.25,5.1,0.43,0.9,0.07,1.6,0.11,N/A,N/A,0.5,0.13,N/A,0.31
5802,Baldcypress,2,3/29/2019,65.25,4.5,0.39,0.8,0.07,1.6,0.1,N/A,N/A,0.5,0.13,N/A,0.3
5803,Baldcypress,1.9,3/29/2019,65.25,4,0.34,0.8,0.06,1.5,0.1,N/A,N/A,0.4,0.12,N/A,0.28
5804,Baldcypress,1.9,3/29/2019,65.25,4,0.34,0.8,0.06,1.5,0.1,N/A,N/A,0.4,0.12,N/A,0.28
5805,Baldcypress,1.5,3/29/2019,65.25,2.4,0.2,0.6,0.05,1.2,0.08,N/A,N/A,0.4,0.09,N/A,0.22
5806,Baldcypress,1.5,3/29/2019,65.25,2.4,0.2,0.6,0.05,1.2,0.08,N/A,N/A,0.4,0.09,N/A,0.22
5807,Baldcypress,2,3/29/2019,65.25,4.5,0.39,0.8,0.07,1.6,0.1,N/A,N/A,0.5,0.13,N/A,0.3
5808,Baldcypress,1.7,3/29/2019,65.25,3.1,0.27,0.7,0.06,1.3,0.09,N/A,N/A,0.4,0.11,N/A,0.25
5809,Baldcypress,1.6,3/29/2019,65.25,2.7,0.23,0.6,0.05,1.2,0.08,N/A,N/A,0.4,0.1,N/A,0.24
5810,Baldcypress,1.8,3/29/2019,65.25,3.6,0.3,0.7,0.06,1.4,0.09,N/A,N/A,0.4,0.11,N/A,0.26
5811,Baldcypress,1.8,3/29/2019,65.25,3.6,0.3,0.7,0.06,1.4,0.09,N/A,N/A,0.4,0.11,N/A,0.26
5812,Baldcypress,1.9,3/29/2019,65.25,4,0.34,0.8,0.06,1.5,0.1,N/A,N/A,0.4,0.12,N/A,0.28
5813,Baldcypress,1.9,3/29/2019,65.25,4,0.34,0.8,0.06,1.5,0.1,N/A,N/A,0.4,0.12,N/A,0.28
5814,Turkish hazelnut,3.2,3/29/2019,112.42,22.6,1.93,2.7,0.23,5.5,0.37,N/A,N/A,1.6,0.44,N/A,1.03
5815,Turkish hazelnut,3.2,3/29/2019,112.42,22.6,1.93,2.7,0.23,5.5,0.37,N/A,N/A,1.6,0.44,N/A,1.03
5817,Common chokecherry,1,3/29/2019,40.78,1.4,0.12,0.6,0.05,1,0.07,N/A,N/A,0.3,0.08,N/A,0.2
5818,Sugar maple,3.8,3/29/2019,193.23,47.6,4.06,4.6,0.4,8.5,0.57,N/A,N/A,2.5,0.68,N/A,1.64
5819,Cucumber tree,3.5,3/29/2019,163.92,27.5,2.35,3,0.25,6.6,0.44,N/A,N/A,2,0.53,N/A,1.23
5820,Eastern redbud,1,3/29/2019,50.19,1.4,0.12,0.6,0.05,2,0.13,N/A,N/A,0.6,0.16,N/A,0.34
5822,Turkish hazelnut,1.5,3/29/2019,50.19,3.7,0.31,1,0.08,2.7,0.18,N/A,N/A,0.8,0.22,N/A,0.48
5823,Turkish hazelnut,1.8,3/29/2019,50.19,5.7,0.49,1.2,0.1,3.1,0.21,N/A,N/A,0.9,0.25,N/A,0.57
5824,Turkish hazelnut,1.9,3/29/2019,50.19,6.5,0.55,1.3,0.11,3.3,0.22,N/A,N/A,1,0.26,N/A,0.6
5825,Turkish hazelnut,2.1,3/29/2019,50.19,8.2,0.7,1.5,0.13,3.6,0.24,N/A,N/A,1.1,0.29,N/A,0.66
5826,Silver maple,5.5,3/29/2019,404.79,119.2,10.16,6.2,0.53,12.4,0.83,N/A,N/A,3.7,0.99,N/A,2.36
5828,Sugar maple,3.8,3/29/2019,193.23,47.6,4.06,4.6,0.4,8.5,0.57,N/A,N/A,2.5,0.68,N/A,1.64
5829,hawthorn spp,5.5,3/29/2019,332.09,79.5,6.78,5.5,0.47,4.6,0.31,N/A,N/A,1.4,0.37,N/A,1.14
5830,Sugar maple,3.8,3/29/2019,193.23,47.6,4.06,4.6,0.4,8.5,0.57,N/A,N/A,2.5,0.68,N/A,1.64
5831,Sugar maple,3.8,3/29/2019,193.23,47.6,4.06,4.6,0.4,8.5,0.57,N/A,N/A,2.5,0.68,N/A,1.64
5832,Goldenrain tree,8.2,3/29/2019,1177.63,217.3,18.53,10,0.85,18.1,1.21,N/A,N/A,5.4,1.45,N/A,3.5
5833,Kentucky coffeetree,13,3/29/2019,2648.55,660.2,56.3,19.1,1.63,35.6,2.38,N/A,N/A,10.7,2.85,N/A,6.85
5834,elm spp,4.5,3/29/2019,180.65,42.3,3.6,3.6,0.31,7.5,0.5,N/A,N/A,2.3,0.6,N/A,1.41
5835,elm spp,4,3/29/2019,142.73,31.9,2.72,3.1,0.26,6.3,0.42,N/A,N/A,1.9,0.51,N/A,1.19
5840,elm spp,3.8,3/29/2019,128.82,28.2,2.4,2.9,0.24,5.9,0.39,N/A,N/A,1.8,0.47,N/A,1.11
5841,serviceberry spp,4,3/29/2019,175.65,37.5,3.2,3.6,0.3,3.6,0.24,N/A,N/A,1.1,0.29,N/A,0.83
5842,serviceberry spp,3.8,3/29/2019,158.52,33.1,2.83,3.3,0.28,3.4,0.23,N/A,N/A,1,0.27,N/A,0.78
5843,serviceberry spp,2.7,3/29/2019,80.03,14.6,1.24,2.1,0.18,2.3,0.15,N/A,N/A,0.7,0.18,N/A,0.51
5844,American hornbeam,2.5,3/29/2019,68.61,12.4,1.06,1.9,0.16,6.7,0.45,N/A,N/A,2,0.53,N/A,1.14
5845,Northern red oak,2.3,3/29/2019,84.94,10.5,0.89,1.8,0.15,2.9,0.2,N/A,N/A,0.9,0.24,N/A,0.59
5846,Northern red oak,2.3,3/29/2019,84.94,10.5,0.89,1.8,0.15,2.9,0.2,N/A,N/A,0.9,0.24,N/A,0.59
5847,elm spp,3,3/29/2019,80.29,16,1.36,2.1,0.18,4.4,0.29,N/A,N/A,1.3,0.35,N/A,0.82
5848,elm spp,2.8,3/29/2019,69.94,13.5,1.15,1.9,0.16,4,0.27,N/A,N/A,1.2,0.32,N/A,0.75
5849,elm spp,2.7,3/29/2019,65.03,12.4,1.06,1.8,0.15,3.9,0.26,N/A,N/A,1.2,0.31,N/A,0.72
5850,elm spp,2.8,3/29/2019,69.94,13.5,1.15,1.9,0.16,4,0.27,N/A,N/A,1.2,0.32,N/A,0.75
5851,elm spp,2.7,3/29/2019,65.03,12.4,1.06,1.8,0.15,3.9,0.26,N/A,N/A,1.2,0.31,N/A,0.72
5852,elm spp,2.5,3/29/2019,55.76,10.3,0.88,1.6,0.14,3.6,0.24,N/A,N/A,1.1,0.28,N/A,0.66
5853,Swamp white oak,2.1,3/29/2019,73.41,7.8,0.67,1.5,0.13,2.2,0.15,N/A,N/A,0.7,0.17,N/A,0.45
5854,Northern red oak,2.1,3/29/2019,73.41,8.4,0.72,1.6,0.14,2.6,0.18,N/A,N/A,0.8,0.21,N/A,0.52
5855,Northern red oak,2.2,3/29/2019,77.72,9.4,0.8,1.7,0.15,2.8,0.19,N/A,N/A,0.8,0.22,N/A,0.55
5857,elm spp,2.8,3/29/2019,69.94,13.5,1.15,1.9,0.16,4,0.27,N/A,N/A,1.2,0.32,N/A,0.75
5858,elm spp,2.6,3/29/2019,60.31,11.3,0.97,1.7,0.15,3.7,0.25,N/A,N/A,1.1,0.3,N/A,0.69
5859,elm spp,2.9,3/29/2019,75.02,14.7,1.26,2,0.17,4.2,0.28,N/A,N/A,1.3,0.34,N/A,0.79
5860,elm spp,2.3,3/29/2019,47.19,8.4,0.72,1.4,0.12,3.3,0.22,N/A,N/A,1,0.26,N/A,0.61
5861,elm spp,2.9,3/29/2019,75.02,14.7,1.26,2,0.17,4.2,0.28,N/A,N/A,1.3,0.34,N/A,0.79
5862,elm spp,2.7,3/29/2019,65.03,12.4,1.06,1.8,0.15,3.9,0.26,N/A,N/A,1.2,0.31,N/A,0.72
5863,elm spp,2.6,3/29/2019,60.31,11.3,0.97,1.7,0.15,3.7,0.25,N/A,N/A,1.1,0.3,N/A,0.69
5864,elm spp,2.6,3/29/2019,60.31,11.3,0.97,1.7,0.15,3.7,0.25,N/A,N/A,1.1,0.3,N/A,0.69
5865,elm spp,3,3/29/2019,80.29,16,1.36,2.1,0.18,4.4,0.29,N/A,N/A,1.3,0.35,N/A,0.82
5866,elm spp,2.5,3/29/2019,55.76,10.3,0.88,1.6,0.14,3.6,0.24,N/A,N/A,1.1,0.28,N/A,0.66
5867,elm spp,2.7,3/29/2019,65.03,12.4,1.06,1.8,0.15,3.9,0.26,N/A,N/A,1.2,0.31,N/A,0.72
5868,elm spp,2.4,3/29/2019,51.38,9.4,0.8,1.5,0.13,3.5,0.23,N/A,N/A,1,0.28,N/A,0.64
5869,Silver linden,2.4,3/29/2019,82.22,7.8,0.67,1.3,0.11,3,0.2,N/A,N/A,0.9,0.24,N/A,0.54
5870,Silver linden,2.1,3/29/2019,65.25,5.7,0.49,1.1,0.09,2.6,0.18,N/A,N/A,0.8,0.21,N/A,0.48
5871,Silver linden,2.4,3/29/2019,82.22,7.8,0.67,1.3,0.11,3,0.2,N/A,N/A,0.9,0.24,N/A,0.54
5872,Silver linden,2.4,3/29/2019,82.22,7.8,0.67,1.3,0.11,3,0.2,N/A,N/A,0.9,0.24,N/A,0.54
5873,Silver linden,2.2,3/29/2019,69.08,6.4,0.54,1.1,0.1,2.7,0.18,N/A,N/A,0.8,0.22,N/A,0.5
5874,Sweetgum,4,3/29/2019,214.1,37.9,3.23,2.8,0.24,4.1,0.28,N/A,N/A,1.2,0.33,N/A,0.84
5875,hawthorn spp,2.4,3/29/2019,63.23,10.9,0.93,1.8,0.15,2.2,0.15,N/A,N/A,0.7,0.17,N/A,0.47
5876,Japanese zelkova,6.3,3/29/2019,424.88,114,9.72,6.8,0.58,9.7,0.65,N/A,N/A,2.9,0.78,N/A,2.01
5877,Japanese zelkova,7.2,3/29/2019,554.95,157.4,13.43,8.2,0.7,12.2,0.81,N/A,N/A,3.7,0.97,N/A,2.49
5878,Japanese zelkova,6.9,3/29/2019,509.67,142,12.11,7.8,0.66,11.2,0.75,N/A,N/A,3.4,0.9,N/A,2.31
5879,Japanese zelkova,7.1,3/29/2019,539.64,152.2,12.98,8.1,0.69,11.9,0.79,N/A,N/A,3.6,0.95,N/A,2.43
5880,serviceberry spp,1.1,3/29/2019,50.19,1.7,0.15,0.6,0.05,1.2,0.08,N/A,N/A,0.4,0.09,N/A,0.22
5883,Ginkgo,8.3,3/29/2019,1212.04,223.4,19.05,10.1,0.86,13.6,0.91,N/A,N/A,4.1,1.09,N/A,2.86
5884,Ginkgo,5.6,3/29/2019,447.62,86,7.33,5.8,0.49,7,0.47,N/A,N/A,2.1,0.56,N/A,1.52
5885,Ginkgo,6.5,3/29/2019,603.05,123.4,10.52,7.2,0.61,8.9,0.59,N/A,N/A,2.7,0.71,N/A,1.91
5886,Ginkgo,5.7,3/29/2019,463.74,89.8,7.66,5.9,0.51,7.2,0.48,N/A,N/A,2.2,0.57,N/A,1.56
5887,Japanese zelkova,3.6,3/29/2019,138.74,29.6,2.52,3.1,0.27,4.2,0.28,N/A,N/A,1.2,0.33,N/A,0.88
5888,Japanese zelkova,5.7,3/29/2019,347.81,89.6,7.64,5.9,0.51,8.2,0.55,N/A,N/A,2.5,0.66,N/A,1.72
5889,Japanese zelkova,6.6,3/29/2019,466.31,127.6,10.88,7.3,0.62,10.5,0.7,N/A,N/A,3.1,0.84,N/A,2.16
5890,Japanese zelkova,5.7,3/29/2019,347.81,89.6,7.64,5.9,0.51,8.2,0.55,N/A,N/A,2.5,0.66,N/A,1.72
5891,Japanese zelkova,6.5,3/29/2019,452.29,123,10.49,7.1,0.61,10.2,0.68,N/A,N/A,3.1,0.81,N/A,2.1
5892,Japanese zelkova,6,3/29/2019,385.38,101.4,8.64,6.4,0.54,8.9,0.59,N/A,N/A,2.7,0.71,N/A,1.85
5893,Japanese pagoda tree,15.5,3/29/2019,3087.05,1011.4,86.25,24.6,2.1,29.4,1.96,N/A,N/A,8.8,2.35,N/A,6.41
5894,Japanese pagoda tree,14,3/29/2019,2598.69,790.1,67.37,21.3,1.81,26.1,1.74,N/A,N/A,7.9,2.09,N/A,5.65
5895,Japanese pagoda tree,17.3,3/29/2019,3738.65,1320.6,112.62,28.8,2.45,32.7,2.19,N/A,N/A,9.9,2.62,N/A,7.26
5896,Green hawthorn,4.9,3/29/2019,263.59,60.2,5.14,4.7,0.4,4.1,0.27,N/A,N/A,1.2,0.33,N/A,1
5897,Green hawthorn,3.6,3/29/2019,142.28,28.8,2.46,3.1,0.26,3.1,0.21,N/A,N/A,0.9,0.25,N/A,0.71
5898,Chinese elm,14,3/29/2019,3035.98,643,54.83,17.4,1.48,46.6,3.12,N/A,N/A,14,3.73,N/A,8.32
5900,Trident maple,4.2,3/29/2019,188.84,56.4,4.81,4.6,0.39,8.3,0.55,N/A,N/A,2.5,0.66,N/A,1.61
5901,London planetree,23.6,3/29/2019,6447.08,2758,235.19,44.3,3.78,96.2,6.43,N/A,N/A,29,7.7,N/A,17.91
5902,Northern hackberry,11.5,3/29/2019,1998.79,493,42.04,16.1,1.37,40.3,2.69,N/A,N/A,12.1,3.23,N/A,7.29
5903,Northern hackberry,7.8,3/29/2019,759.85,192.2,16.39,9.3,0.79,21.5,1.44,N/A,N/A,6.5,1.72,N/A,3.95
5904,Northern hackberry,9.7,3/29/2019,1519.67,326.1,27.81,12.6,1.08,31,2.07,N/A,N/A,9.3,2.48,N/A,5.63
5905,Northern hackberry,11.6,3/29/2019,2027.8,503.5,42.94,16.3,1.39,40.9,2.73,N/A,N/A,12.3,3.27,N/A,7.39
5906,Northern hackberry,10,3/29/2019,1593.88,351.2,29.95,13.2,1.13,32.5,2.17,N/A,N/A,9.8,2.6,N/A,5.9
5907,Honeylocust,22.8,3/29/2019,7682.84,2519.7,214.87,42,3.58,23.2,1.55,N/A,N/A,7,1.85,N/A,6.98
5908,Scotch pine,15,3/29/2019,2874.55,535.9,45.7,11.6,0.99,26.1,1.74,N/A,N/A,7.8,2.09,N/A,4.82
5909,Scotch pine,11,3/29/2019,1755.31,258,22,7.5,0.64,15.5,1.04,N/A,N/A,4.7,1.24,N/A,2.92
5910,Scotch pine,11.3,3/29/2019,1827.3,274.9,23.44,7.8,0.67,16.2,1.08,N/A,N/A,4.9,1.29,N/A,3.04
5911,Scotch pine,16.2,3/29/2019,3277.48,640.5,54.62,12.9,1.1,29.4,1.96,N/A,N/A,8.8,2.35,N/A,5.42
5912,Scotch pine,10.4,3/29/2019,1617.12,225.7,19.25,6.9,0.59,14.1,0.94,N/A,N/A,4.2,1.12,N/A,2.66
5913,Honeylocust,21.6,3/29/2019,6918.31,2209.2,188.39,38.8,3.31,22.6,1.51,N/A,N/A,6.8,1.81,N/A,6.63
5915,Honeylocust,20.8,3/29/2019,6431.59,2015.8,171.9,36.8,3.14,22.2,1.49,N/A,N/A,6.7,1.78,N/A,6.4
